Name,Avg_UT_Fruit-No_rating,Avg_Esters-No_rating,Avg__Dried_Fruit-No_rating,Avg_Brown spices No_rating,Avg_UT_Vanilla-No_rating,Avg_UT_Wood-No_rating,Avg_New_Wood-No_rating,Avg_Aged_Wood-No_rating,Avg_UT_Smoky-No_rating,Avg_UT_Rubber-No_rating,Avg_UT_Sugars-_No_rating,Avg_Caramel_rating,Avg_Brown_Sugar-No_rating,Avg_UT Floral No_rating,Avg_UT__Green_rating,Avg_Hay/Tea-No_rating,Avg_UT_Dry_Fragant-_Pa_rating,Avg_Sweet_rating,Avg_Bitter_rating,Avg_Sour_rating,Avg_Alcoholic_strength_rating,Avg_Viscous_rating
201,0.584573543675325,0,0.390911150665585,0,0,0.599516946233766,0,0.596528525483768,0.917506519691558,0.832031970805195,0.187087392094156,0,0.166765430064935,0,4.42217532467533e-02,0,0,0.684393810204544,0.884631692886363,6.15725324675326e-02,0.976083482967532,0.26897664586039
Signature Rare(582),0.822672514801946,0,0.527508971003248,0,0,0.613788831814936,0,0.339059127422078,0.142281037042208,0.715960197717533,0.188451780568183,0,0.155907753724026,0,0.172557629782468,0,0,0.868839049607141,1.06712810094481,7.26735576623375e-02,1.19276162198377,0.354196037915584
388,0.866317030467532,0.84997142626948,5.43262987012988e-02,0,0,1.08794419588636,1.08746344217857,0,0,0.429313000425325,0.204319577704544,0,0.20047394049026,0,0,3.84751623376625e-02,5.23991883116882e-02,0.562000552376625,0.746609516470779,4.32777597402598e-02,0.79131955176948,0.229320279506493
293,0.36239869650974,0,0.20120244350974,0,1.2554503387013,0.214732213090909,0,0,0,0,1.0907239588961,1.27251128549676,0.175904230876624,0,0,0,0,0.744798561025974,0.81833712356169,4.70502597402599e-02,0.930704046896103,0.314745359821429
Blenders Pride (565),0.879791928724027,0,0.399780348844155,0,0,0.588603673038962,0,0.524277788506493,0.21718130024026,0.686818925454545,0.225481243110389,0,0.182598096113637,0,0.191590080064935,0,0,0.785034464392858,0.965557808594155,0.138337041256493,1.10527319351299,0.317471309941557
434,0.720488657860392,0,0.579876097779221,0,0,0.487872438967533,1.85327922077922e-02,0.317183812496753,4.10482142857143e-03,0.285331870035714,0.235835400172078,0,0.196991209805195,0.161366807256494,0.167359005925324,0.751008433094155,0.659449119967531,0.572994794282468,0.740354256844156,0,0.991948185974027,0.200209591827922
540,0.544704966058442,1.11860064935065e-02,0.535781208324674,0.836742986298698,0,0.674435685116883,5.66560064935064e-04,0.457885927662339,2.36494155844156e-02,0.340474669227272,0.342884057055194,0,0.270227464350649,0,3.42797077922079e-02,0,0,0.679251655431818,0.967183116665583,0,1.27579228487338,0.261446969792208
186,0.941033978892858,0,0.580826280324675,0,1.18408766233766e-02,0.573728574912338,0,0.446561680814934,6.97984415584416e-02,0.755902844064935,0.233631875402597,0,0.195186879685065,0,0.386822986821428,1.77671428571429e-02,1.77671428571429e-02,0.664815142558443,0.893716116646102,9.34375243636365e-02,0.948723131081168,0.275627142444806
272,0.921663871873379,4.11303246753247e-02,0.498925150886363,0,0.130125057766234,0.645232664961038,0,0.445661901616884,0,0.580507232792206,0.393072817425324,0,0.306771809301947,0,2.62934090909091e-02,0,0,0.781425331198053,1.01200985537662,5.93385747142857e-02,1.10774962840909,0.319582313987013
Antiquity Blue (109),0.965649271162337,0,0.517713110019482,0,0,0.568176432243506,0,0.565060009412336,5.60700974025974e-02,0.540139990454546,0.28097278812013,0,0.279727496808441,0,0.351994415493507,0,0,0.716449459331167,0.933253295331168,5.29526298701299e-02,1.01735823213636,0.277857643224025
342,0.758040669535717,0,0.554859533805195,0,0,0.52591099513961,0,0.351680556457792,7.02613636363635e-02,0.64117113172078,0.211755470162338,0,0.194602070262987,0,0.800928401873378,0,1.1265974025974e-02,0.611685980558443,0.78055672906169,6.48903246753247e-02,0.862043420493506,0.251966479688312
Chivas 12(943),1.04655502620779,0,0.539397852918831,0,0,0.69873726902273,0,0.616896932100649,0,0.589616819769481,0.281478115480519,0,0.282719022347402,0,0.135159805626623,0,0,0.695636370866882,0.936195550659091,6.13962337662336e-02,1.03415508519481,0.296359260220779
Oaksmith Gold (436),0.695201487142857,0,0.463467657944804,0,0,0.818555490344158,0,0.606786545993506,0,0.630316066795454,0.282359411831169,0,0.278080997581168,0,4.27746103896104e-02,0,0,0.795025585162339,1.08023655727922,7.13051660389612e-02,1.19289489137987,0.328705324737013
427,0.580949263373375,0.150782733714286,0.32829721357143,1.16041558441558e-02,0,1.14941804188961,1.10214023474675,3.68155844155845e-02,0,0.441763218081168,0.310394972886365,0,0.137676034798701,0,0,0,4.62601298701298e-02,0.648273830457794,0.843688223847403,0,1.1300026223961,0.224789885626624
765,0.686570728110389,0,0.49421328848052,0,0,0.773044419178571,9.4770916571429e-02,0.572254271129871,0.387659675532468,0.569977566639611,0.199719708548701,0,0.201326835204546,5.35468831168831e-04,8.41966911688314e-02,4.73571428571429e-02,7.74935064935068e-02,0.667027402571429,0.871164169318186,0,1.19805152413312,0.24991755937013
